district,revenue_circle,drainage_basin,latitude,longitude,elevation_m,slope_deg,topographic_wetness_index_twi,soil_type,land_use,rainfall_1day_mm,rainfall_3day_mm,rainfall_7day_mm,distance_to_river_km,distance_to_embankment_m,in_floodplain,flood_label
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.220429,92.942685,60.2,0.73,12.45,Silty alluvium,Lowland Marsh,195.4,337.9,525.4,1.56,383,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.870221,91.41082,156.2,6.66,7.43,Coarse boulder-sand,Deciduous Forest,89.3,249.1,356.1,16.67,9616,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.573858,95.005191,101.3,0.62,13.13,Recent riverine alluvium,Riparian Grassland,209.2,416.9,547.8,1.96,64,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.746679,92.71704,28.4,0.28,15.78,Heavy alluvial clay,Paddy Cropland,229.8,414.7,711.5,0.17,418,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.028637,89.936764,41.7,0.22,13.25,Hydromorphic alluvial silt,Char Settlement,139.4,287.1,420.4,1.2,189,1,1
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.036552,94.126633,83.9,0.53,12.18,Coarse river sand and silt,Wetland,190.4,264.4,488.7,1.2,108,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.477639,90.907223,42.4,0.79,15.42,Fine alluvial silt,Dense Rural Settlement,217.2,421.7,570.4,1.52,166,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.62315,93.402031,64.7,0.82,12.02,Marshy organic loam,Wetland,184.2,382.3,472.9,1.43,430,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.679093,93.323354,72.2,0.65,13.49,Marshy organic loam,Paddy Fringe,208.1,386.4,456.0,1.55,81,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.520391,93.391937,74.5,0.8,13.08,Marshy organic loam,Wetland,171.9,369.4,436.7,0.5,258,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.79139,92.907767,32.4,0.38,16.75,Heavy alluvial clay,Depression Wetland (Beel),221.2,508.9,666.3,1.29,399,1,1
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.185864,93.037799,66.9,1.02,13.85,Silty alluvium,Paddy Cropland,140.4,368.7,559.1,2.02,268,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.653682,93.509277,65.6,0.48,15.35,Marshy organic loam,National Park Grassland,141.6,333.2,537.2,1.0,447,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.561526,93.503579,65.6,0.58,14.05,Marshy organic loam,National Park Grassland,155.5,334.5,536.8,0.91,267,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.720194,92.874012,34.8,0.17,13.55,Heavy alluvial clay,Dense Settlement,253.7,457.0,590.0,0.71,184,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.131787,90.290195,42.8,0.45,13.51,Fine riverine sand,Char Settlement,182.7,340.1,448.1,1.04,323,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.749766,94.609198,100.1,0.97,11.04,Alluvial sandy silt,Low-lying Rural Settlement,186.3,410.8,507.9,2.02,275,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.185041,90.612836,157.3,14.87,5.87,Gravelly red loam,Rubber Plantation,66.3,216.4,186.8,14.9,13547,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.375857,92.805351,677.0,31.79,6.64,Gravelly skeletal clay,Sub-Tropical Montane Forest,98.4,131.0,200.4,23.85,19262,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.771298,94.356928,130.4,2.14,5.93,Deep red acidic loam,Elevated Homestead,102.1,161.3,263.6,8.85,8611,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.311582,90.806119,44.5,0.47,11.75,Clayey hydromorphic loam,Paddy Cropland,171.6,462.3,643.9,1.01,292,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.330669,93.265321,435.7,8.43,5.53,Lateritic gravelly clay,Dense Tropical Forest,46.5,117.4,184.9,12.47,4587,0,0
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.093428,92.751174,69.8,0.7,11.77,Alluvial clay loam,Lowland Marsh,149.2,406.2,496.0,2.51,515,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.736257,92.519187,114.9,6.69,5.21,Sandy loam,Urban Cantonment,67.7,181.3,307.1,4.95,13233,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.139857,90.558765,181.3,13.98,6.93,Laterite outcrop,Rubber Plantation,93.3,206.5,216.4,13.69,6672,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.026473,93.374451,423.7,17.78,7.04,Lateritic gravelly clay,Dense Tropical Forest,65.9,127.2,240.9,21.78,22411,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.040209,90.267916,36.7,0.39,16.24,Fine riverine sand,Char Settlement,183.0,388.7,444.0,0.37,210,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.572313,93.405963,70.9,0.76,13.91,Marshy organic loam,Wetland,157.0,344.7,475.7,1.22,620,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.209885,90.195938,40.7,0.48,13.81,Fine riverine sand,Paddy Cropland,174.0,335.6,488.6,1.05,379,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.633572,93.537408,69.9,0.48,13.73,Alluvial silt loam,National Park Grassland,141.5,330.8,426.8,1.93,122,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.792146,94.273861,113.6,3.71,7.92,Old alluvial terrace soil,Commercial Tea Plantation,94.3,195.3,252.6,8.63,13858,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.272052,92.244335,52.0,0.61,12.43,Organic silty clay,Paddy Cropland,179.7,396.1,451.4,1.99,319,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.391468,93.224596,737.9,24.39,6.02,Gravelly skeletal clay,Settlement on Ridge,60.1,116.1,174.3,16.46,26344,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.30345,94.070153,90.4,0.57,14.27,Alluvial fine sand,Rural Homestead,136.0,371.6,429.8,1.67,366,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.200729,91.747215,195.9,17.94,6.9,Red gravelly loam,Rocky Outcrop / Hill Scrub,113.1,211.7,279.4,6.66,5150,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.3483,92.949421,667.7,29.68,4.55,Gravelly skeletal clay,Sub-Tropical Montane Forest,56.1,201.2,228.4,21.8,23803,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.186354,91.923098,249.6,11.61,6.27,Red gravelly loam,Reserved Forest Upland,97.6,142.3,297.2,5.68,6912,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.19145,91.819238,258.4,7.56,5.1,Ferruginous weathered rock,Reserved Forest Upland,117.2,153.2,218.0,12.34,5119,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.054957,90.003746,37.0,0.43,14.47,Fine riverine sand,Riparian Wetland,187.9,373.1,415.9,1.52,429,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.251557,93.166479,520.3,13.72,6.29,Gravelly skeletal clay,Settlement on Ridge,67.6,155.0,242.6,18.12,19860,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.761432,92.507333,104.0,2.5,5.46,Piedmont coarse alluvium,Tea Plantation,87.7,181.9,232.4,12.36,5648,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.282818,94.156787,92.3,0.22,15.26,Clayey loam,Alluvial Lowland,144.4,361.4,436.3,1.05,84,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.811842,92.55103,99.9,4.19,7.44,Sandy loam,Tea Plantation,109.6,229.1,261.0,8.63,11514,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.506495,94.720022,107.9,0.88,12.56,Silty clay loam,Wetland / Beel,159.8,298.3,413.6,1.31,403,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.750524,92.768316,31.1,0.15,14.5,Hydromorphic depression silt,Dense Settlement,270.1,517.0,525.4,0.81,351,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.209815,91.767609,245.5,16.64,5.42,Red gravelly loam,Highland Residential Built-up,60.1,164.7,268.7,8.74,4457,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.82793,94.258517,106.0,4.79,6.32,Deep red acidic loam,Elevated Homestead,108.0,119.8,201.4,10.28,9039,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.831896,93.004086,28.8,0.21,12.37,Heavy alluvial clay,Dense Settlement,220.8,524.8,661.5,0.87,434,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.052761,92.875779,595.9,13.94,6.05,Gravelly skeletal clay,Settlement on Ridge,94.3,183.3,192.2,18.12,22897,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.223334,94.121297,88.6,0.35,12.54,Alluvial fine sand,Rural Homestead,190.8,296.5,472.4,2.34,395,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.193411,90.694372,183.2,9.53,6.0,Gravelly red loam,Rubber Plantation,81.6,124.1,251.2,13.01,6648,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.314798,93.372648,269.4,7.61,7.64,Lateritic gravelly clay,Dense Tropical Forest,91.9,155.2,156.9,8.46,19424,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.168049,94.289663,95.8,0.42,14.59,Alluvial fine sand,Alluvial Lowland,195.6,306.8,434.8,1.59,799,1,1
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.023462,94.266072,90.0,0.77,13.24,Alluvial fine sand,Alluvial Lowland,208.4,301.7,472.7,1.14,743,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.072327,90.695699,93.2,6.47,5.88,Gravelly red loam,Rubber Plantation,61.5,188.3,256.7,7.01,4646,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.268556,90.854625,46.6,0.5,11.96,Sand bar alluvium,Permanent Wetland,237.7,395.6,550.4,1.1,152,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.623259,92.715798,101.7,5.84,5.4,Piedmont coarse alluvium,Urban Cantonment,107.4,139.2,252.1,7.03,5185,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.182136,92.405758,57.8,0.5,11.04,Organic silty clay,Rural Floodplain Settlement,202.0,399.3,474.1,1.82,518,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.180079,91.925404,196.2,21.86,5.33,Ferruginous weathered rock,Rocky Outcrop / Hill Scrub,96.9,141.8,310.0,15.08,13799,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.174748,91.833102,135.6,7.21,5.2,Red gravelly loam,Highland Residential Built-up,102.2,205.0,221.7,13.0,14434,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.639096,94.55,88.9,0.4,13.45,Silty clay loam,Wetland / Beel,145.1,339.6,579.3,1.26,632,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.170246,93.271003,239.8,17.1,4.56,Lateritic gravelly clay,Rubber / Coffee Plantation,52.9,140.1,259.9,13.89,9476,0,0
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.384519,91.456775,57.6,0.71,14.51,Alluvial silt loam,Rural Settlement,156.3,436.4,554.3,1.4,636,1,1
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.049843,89.94041,38.9,0.34,13.26,Hydromorphic alluvial silt,Char Settlement,185.8,274.1,402.0,1.4,130,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.191916,92.376911,59.4,0.31,12.06,Clayey alluvium,Rural Floodplain Settlement,166.5,357.3,433.2,1.63,472,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.884542,92.691315,24.8,0.44,13.4,Hydromorphic depression silt,Urban Built-up / Commercial,195.6,498.9,725.2,1.11,134,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.45886,91.339212,49.5,0.81,14.46,Clayey loam,Wetland,175.4,348.1,451.9,0.81,559,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.342126,92.230942,52.7,0.52,12.87,Riverine silt,Rural Floodplain Settlement,200.4,306.6,491.1,1.01,483,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.176851,91.898831,223.7,18.67,7.7,Ferruginous weathered rock,Rocky Outcrop / Hill Scrub,82.0,142.0,200.7,10.13,11191,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.013549,93.424688,223.8,11.58,5.14,Skeletal rocky soil,Rubber / Coffee Plantation,60.3,151.6,195.0,6.23,6797,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.817549,92.978029,28.2,0.24,14.24,Heavy alluvial clay,Paddy Cropland,254.8,435.8,723.8,0.99,34,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.142952,93.113534,768.3,28.23,5.62,Red and yellow forest soil,Hilly Terrain,81.6,169.8,176.3,18.19,10841,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.271539,92.361061,50.4,0.28,12.06,Riverine silt,Paddy Cropland,221.8,320.2,538.4,1.85,487,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.143981,90.568641,163.1,11.39,6.32,Gravelly red loam,Mixed Scrub and Rocky Outcrop,61.9,210.2,243.5,7.2,7264,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.188645,91.914195,235.0,11.49,7.52,Red gravelly loam,Reserved Forest Upland,80.2,197.8,318.7,13.21,7997,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.847691,92.657487,30.4,0.3,16.6,Hydromorphic depression silt,Urban Built-up / Commercial,209.4,395.3,736.4,1.06,382,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.198154,90.85431,51.3,0.55,13.46,Fine alluvial silt,Char Land,179.6,425.5,521.8,1.08,521,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.497677,91.509288,57.0,0.32,13.42,Alluvial silt loam,Wetland,216.9,423.5,595.3,1.48,172,1,1
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.193896,92.97751,71.6,0.37,11.1,Silty alluvium,Rural Settlement,166.6,362.1,482.8,2.17,136,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.416881,90.775026,42.1,0.72,12.38,Clayey hydromorphic loam,Char Land,169.7,440.6,563.2,1.75,199,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.278251,90.907018,42.3,0.41,13.65,Fine alluvial silt,Dense Rural Settlement,210.2,440.8,533.2,0.58,99,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.78563,92.790958,90.4,5.12,7.94,Piedmont coarse alluvium,High Alluvial Orchard,71.6,181.8,329.1,4.06,10716,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.614826,94.279018,130.3,4.85,6.73,Deep red acidic loam,Agroforestry,65.8,197.6,251.9,14.26,13370,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.043226,94.16369,85.0,0.49,15.07,Coarse river sand and silt,Paddy Cropland,160.2,364.2,488.1,0.83,157,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.15554,90.536922,100.7,12.74,7.15,Gravelly red loam,Mixed Scrub and Rocky Outcrop,62.1,211.0,233.3,11.74,10729,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.273191,90.806543,45.3,0.56,14.2,Clayey hydromorphic loam,Char Land,214.0,444.0,589.7,1.8,323,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.068143,92.898733,351.8,16.46,4.26,Red and yellow forest soil,Sub-Tropical Montane Forest,99.1,205.3,213.1,27.98,10927,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.035483,93.740623,421.6,23.81,6.24,Skeletal rocky soil,Mixed Deciduous Forest,56.5,150.0,237.8,18.6,6939,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.001011,94.140036,84.5,0.27,15.51,Active alluvial deposits,Paddy Cropland,176.6,354.9,453.8,1.16,103,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.762999,91.544892,132.0,6.49,7.44,Bhabar gravelly loam,Foothill Plantation,120.5,171.4,332.8,13.18,9475,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.326972,95.712064,209.5,6.87,7.17,Laterite,Highland Industrial / Township,70.6,142.7,334.8,8.44,5498,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.198158,90.816883,44.0,0.38,15.18,Clayey hydromorphic loam,Dense Rural Settlement,221.3,414.4,584.8,0.93,109,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.436081,95.6924,173.8,13.42,7.91,Sandy clay red loam,Tea Estate,115.3,229.2,279.4,19.9,15229,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.590122,95.184202,97.2,0.54,11.66,Silty clay loam,Low-lying Rural Settlement,186.8,406.7,477.9,0.64,648,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.953645,93.581163,386.1,18.98,6.75,Skeletal rocky soil,Hilly Homestead,45.2,95.3,179.9,11.17,23072,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.187978,91.089672,48.1,0.61,12.27,Sand bar alluvium,Char Land,174.8,364.0,575.2,1.73,158,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.759376,92.78743,33.8,0.46,15.99,Heavy alluvial clay,Dense Settlement,223.2,478.7,709.7,0.46,223,1,1
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.238353,93.910713,97.6,0.69,11.95,Riverine silt loam,Alluvial Lowland,174.2,282.1,538.8,2.31,412,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.464088,92.927718,466.5,25.19,3.73,Red and yellow forest soil,Hilly Terrain,65.3,196.0,223.4,12.24,8657,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.155234,91.944691,243.4,18.71,4.89,Ferruginous weathered rock,Highland Residential Built-up,112.2,193.4,261.6,13.89,6037,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.581255,94.304678,108.9,4.89,5.62,Old alluvial terrace soil,Elevated Homestead,54.2,119.5,266.3,15.54,8570,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.250603,92.038713,58.2,0.29,11.83,Riverine silt,Wetland / Marshland,148.3,339.1,472.3,0.57,515,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.630568,93.348655,68.9,0.89,13.3,Marshy organic loam,National Park Grassland,137.2,385.9,433.4,1.76,166,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.908458,91.440221,100.3,3.57,5.93,Bhabar gravelly loam,Deciduous Forest,86.3,230.3,262.2,14.38,9545,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.846709,94.389035,106.9,4.39,8.11,Deep red acidic loam,Commercial Tea Plantation,62.7,112.3,261.0,11.79,8276,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.143981,92.93569,649.4,31.66,3.84,Red and yellow forest soil,Hilly Terrain,91.0,208.1,260.5,26.3,29336,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.995669,93.611606,250.8,13.9,4.72,Red loamy soil,Mixed Deciduous Forest,64.2,112.9,210.7,16.79,11868,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.672345,94.383358,109.9,2.92,6.88,Deep red acidic loam,Agroforestry,107.9,153.7,279.5,13.63,15699,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.301288,91.015658,44.9,0.24,14.01,Fine alluvial silt,Permanent Wetland,202.1,388.4,528.2,1.08,106,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.663161,93.580853,74.3,0.52,11.06,Marshy organic loam,Paddy Fringe,164.7,347.9,501.5,0.5,338,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.640277,92.817204,92.3,2.93,6.25,Piedmont coarse alluvium,Tea Plantation,74.1,171.2,201.4,11.97,5714,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.200575,93.457657,445.0,19.15,5.61,Lateritic gravelly clay,Hilly Homestead,84.0,166.0,214.6,12.21,19734,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.315891,93.096494,587.6,20.26,4.12,Gravelly skeletal clay,Sub-Tropical Montane Forest,107.4,207.0,265.7,26.3,11605,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.898505,91.452114,147.5,5.92,6.41,Bhabar gravelly loam,Foothill Plantation,119.6,178.9,329.5,10.83,4304,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.063434,90.227181,42.2,0.28,12.67,Fine riverine sand,Riparian Wetland,132.9,381.0,490.0,1.54,214,1,1
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.127312,93.944904,84.0,0.88,12.98,Clayey loam,Paddy Cropland,134.0,313.4,538.3,2.03,227,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.665717,94.226011,122.2,3.18,7.33,Deep red acidic loam,Commercial Tea Plantation,99.7,190.1,239.3,8.11,13271,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.541689,94.557405,91.9,0.5,11.34,Alluvial sandy silt,Riparian Grassland,143.6,297.1,459.7,2.09,432,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.349997,91.411561,55.0,0.82,13.57,Alluvial silt loam,Paddy Cropland,214.6,348.1,450.2,1.82,429,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.317974,91.523603,48.9,0.89,10.97,Alluvial silt loam,Wetland,185.7,347.1,479.9,0.54,224,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.089424,91.844461,273.3,11.18,4.83,Red gravelly loam,Reserved Forest Upland,81.2,179.4,252.6,15.69,10420,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.130738,90.569391,163.0,8.38,4.32,Laterite outcrop,Rubber Plantation,98.0,173.3,231.6,16.06,4691,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.502684,94.533557,101.2,1.0,15.13,Alluvial sandy silt,Paddy Cropland,162.2,372.6,472.0,0.94,175,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.425331,95.812632,177.4,5.74,6.11,Sandy clay red loam,Highland Industrial / Township,106.1,225.0,327.0,20.15,5232,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.843886,94.226904,132.1,3.46,6.94,Old alluvial terrace soil,Agroforestry,80.3,173.1,264.1,17.04,13155,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.259329,93.906909,88.9,0.43,14.06,Alluvial fine sand,Rural Homestead,133.6,321.4,479.9,0.32,297,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.283666,90.823781,48.0,0.46,11.64,Sand bar alluvium,Char Land,210.3,398.3,599.8,0.53,423,1,1
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.020673,94.283224,84.1,0.49,14.58,Clayey loam,Alluvial Lowland,143.9,276.8,501.3,1.46,616,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.740381,94.441776,122.5,3.36,6.32,Old alluvial terrace soil,Commercial Tea Plantation,84.0,209.0,270.2,13.07,7174,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.681422,92.689632,124.0,4.09,5.93,Piedmont coarse alluvium,Urban Cantonment,74.4,197.3,291.9,10.7,8067,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.065535,94.098337,78.3,0.58,12.38,Active alluvial deposits,Riparian Grassland,140.0,359.4,415.2,0.89,144,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.674213,94.306492,121.1,4.42,5.86,Old alluvial terrace soil,Agroforestry,105.0,202.2,262.2,8.99,9273,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.491347,94.716861,103.0,0.81,11.86,Alluvial sandy silt,Wetland / Beel,164.3,342.3,456.3,1.28,312,1,1
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.050295,94.281072,79.4,0.28,13.08,Coarse river sand and silt,Paddy Cropland,180.3,263.2,452.0,0.62,367,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.117028,93.229191,591.0,27.24,4.91,Red and yellow forest soil,Hilly Terrain,88.2,127.6,219.5,16.26,12797,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,26.926564,94.273841,82.6,0.32,15.69,Active alluvial deposits,Wetland,182.2,356.2,398.0,0.45,299,1,1
